tree,nDiv,deathProb,rho,nCells,treeLength,treeHeight,birthRate,deathRate
tree_s,7,0,1,128,1270,35,0.12130075659799,0
tree_ss_1,10,0,0.1,102,1738.18181818182,36.3636363636364,0.173286795139986,0
tree_ss_2,10,0,0.1,102,1669.09090909091,36.3636363636364,0.173286795139986,0
tree_ss_3,10,0,0.1,102,1654.54545454546,36.3636363636364,0.173286795139986,0
tree_ss_4,10,0,0.1,102,1661.81818181818,36.3636363636364,0.173286795139986,0
tree_ss_5,10,0,0.1,102,1680,36.3636363636364,0.173286795139986,0
tree_ss_6,10,0,0.1,102,1716.36363636364,36.3636363636364,0.173286795139986,0
tree_ss_7,10,0,0.1,102,1749.09090909091,36.3636363636364,0.173286795139986,0
tree_ss_8,10,0,0.1,102,1647.27272727273,36.3636363636364,0.173286795139986,0
tree_ss_9,10,0,0.1,102,1727.27272727273,36.3636363636364,0.173286795139986,0
tree_ss_10,10,0,0.1,102,1698.18181818182,36.3636363636364,0.173286795139986,0
tree_ss_11,10,0,0.1,102,1730.90909090909,36.3636363636364,0.173286795139986,0
tree_ss_12,10,0,0.1,102,1752.72727272728,36.3636363636364,0.173286795139986,0
tree_ss_13,10,0,0.1,102,1694.54545454546,36.3636363636364,0.173286795139986,0
tree_ss_14,10,0,0.1,102,1749.09090909091,36.3636363636364,0.173286795139986,0
tree_ss_15,10,0,0.1,102,1720,36.3636363636364,0.173286795139986,0
tree_ss_16,10,0,0.1,102,1789.09090909091,36.3636363636364,0.173286795139986,0
tree_ss_17,10,0,0.1,102,1701.81818181818,36.3636363636364,0.173286795139986,0
tree_ss_18,10,0,0.1,102,1723.63636363637,36.3636363636364,0.173286795139986,0
tree_ss_19,10,0,0.1,102,1712.72727272728,36.3636363636364,0.173286795139986,0
tree_ss_20,10,0,0.1,102,1727.27272727273,36.3636363636364,0.173286795139986,0
tree_sd_1,10,0.2,1,158,1494.54545454546,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_2,10,0.2,1,128,1225.45454545455,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_3,10,0.2,1,125,1170.90909090909,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_4,10,0.2,1,107,1032.72727272727,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_5,10,0.2,1,69,665.454545454544,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_6,10,0.2,1,61,574.545454545454,32.7272727272727,0.138629436111989,0.0346573590279973
tree_sd_7,10,0.2,1,90,843.636363636362,32.7272727272727,0.138629436111989,0.0346573590279973
tree_sd_8,10,0.2,1,59,563.636363636363,32.7272727272727,0.138629436111989,0.0346573590279973
tree_sd_9,10,0.2,1,71,705.454545454544,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_10,10,0.2,1,109,999.999999999998,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_11,10,0.2,1,32,283.636363636363,25.4545454545455,0.138629436111989,0.0346573590279973
tree_sd_12,10,0.2,1,82,781.81818181818,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_13,10,0.2,1,88,803.636363636362,32.7272727272727,0.138629436111989,0.0346573590279973
tree_sd_14,10,0.2,1,62,643.636363636363,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_15,10,0.2,1,89,839.999999999998,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_16,10,0.2,1,178,1643.63636363637,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_17,10,0.2,1,68,647.272727272726,32.7272727272727,0.138629436111989,0.0346573590279973
tree_sd_18,10,0.2,1,41,407.272727272727,32.7272727272727,0.138629436111989,0.0346573590279973
tree_sd_19,10,0.2,1,79,752.727272727271,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sd_20,10,0.2,1,149,1294.54545454546,36.3636363636364,0.138629436111989,0.0346573590279973
tree_sds_1,12,0.1,0.1,137,2233.84615384616,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_2,12,0.1,0.1,163,2683.07692307692,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_3,12,0.1,0.1,153,2520,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_4,12,0.1,0.1,132,2190.76923076924,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_5,12,0.1,0.1,94,1532.3076923077,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_6,12,0.1,0.1,35,593.846153846154,30.7692307692308,0.187149738751185,0.0207944154167984
tree_sds_7,12,0.1,0.1,68,1104.61538461539,33.8461538461539,0.187149738751185,0.0207944154167984
tree_sds_8,12,0.1,0.1,122,2000,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_9,12,0.1,0.1,122,1947.69230769231,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_10,12,0.1,0.1,83,1360,33.8461538461539,0.187149738751185,0.0207944154167984
tree_sds_11,12,0.1,0.1,149,2403.07692307692,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_12,12,0.1,0.1,138,2209.23076923077,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_13,12,0.1,0.1,84,1356.92307692308,33.8461538461539,0.187149738751185,0.0207944154167984
tree_sds_14,12,0.1,0.1,89,1443.07692307693,33.8461538461539,0.187149738751185,0.0207944154167984
tree_sds_15,12,0.1,0.1,49,775.384615384616,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_16,12,0.1,0.1,128,2101.53846153847,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_17,12,0.1,0.1,115,1873.84615384616,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_18,12,0.1,0.1,155,2513.84615384615,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_19,12,0.1,0.1,143,2316.92307692308,36.9230769230769,0.187149738751185,0.0207944154167984
tree_sds_20,12,0.1,0.1,73,1255.38461538462,36.9230769230769,0.187149738751185,0.0207944154167984
tree_bd_1,NA,0.111111111111111,0.1,40,554.457763220793,32.3083263473801,0.2,0.025
tree_bd_2,NA,0.111111111111111,0.1,26,434.285363428463,27.8185013349216,0.2,0.025
tree_bd_3,NA,0.111111111111111,0.1,31,490.537402008053,34.7886245807334,0.2,0.025
tree_bd_4,NA,0.111111111111111,0.1,180,2459.85844579005,39.785128444463,0.2,0.025
tree_bd_5,NA,0.111111111111111,0.1,25,408.352095976986,32.9136856015091,0.2,0.025
tree_bd_6,NA,0.111111111111111,0.1,60,835.288391235114,33.764035433936,0.2,0.025
tree_bd_7,NA,0.111111111111111,0.1,151,2366.78718587925,39.9335270830327,0.2,0.025
tree_bd_8,NA,0.111111111111111,0.1,109,1473.15095264756,32.2623770535033,0.2,0.025
tree_bd_9,NA,0.111111111111111,0.1,31,410.839768557334,31.5399080942911,0.2,0.025
tree_bd_10,NA,0.111111111111111,0.1,79,1019.41685526495,29.2669093933673,0.2,0.025
tree_bd_11,NA,0.111111111111111,0.1,55,783.050306635509,32.4692016274574,0.2,0.025
tree_bd_12,NA,0.111111111111111,0.1,162,2127.22581370452,33.9661293975392,0.2,0.025
tree_bd_13,NA,0.111111111111111,0.1,129,1724.7093631045,39.7419720848913,0.2,0.025
tree_bd_14,NA,0.111111111111111,0.1,28,380.842870443543,24.3244938694325,0.2,0.025
tree_bd_15,NA,0.111111111111111,0.1,127,1726.98674476839,35.703564751465,0.2,0.025
tree_bd_16,NA,0.111111111111111,0.1,52,812.791224215183,34.1932935251381,0.2,0.025
tree_bd_17,NA,0.111111111111111,0.1,28,403.903826599497,39.5587480275167,0.2,0.025
tree_bd_18,NA,0.111111111111111,0.1,107,1536.92355081951,34.2543548554393,0.2,0.025
tree_bd_19,NA,0.111111111111111,0.1,152,2162.6968264882,36.5820437397375,0.2,0.025
tree_bd_20,NA,0.111111111111111,0.1,113,1589.07862220045,38.3681598491967,0.2,0.025
